# id: cet6-core
# title: CET-6 重点词
# exam: CET-6
# track: Core Vocabulary
# description: 基于公开词表整理的 CET-6 重点词，用于进阶强化与冲刺。
# accent: cobalt
kind	term	pronunciation	meaning	phrases	example	tags
word	accuse	[əˈkjuːz]	v. 1. 指责，谴责 2. 控诉，控告		Try to recall "accuse" before checking the answer.	core,official
word	accustomed	[әˈkʌstәmd]	a. 惯常的，习惯了的		Try to recall "accustomed" before checking the answer.	core,official
word	achievement	[əˈtʃiːvmənt]	n. 1. 完成，达到 2. 成就，成绩		Try to recall "achievement" before checking the answer.	core,official
word	acid	[ˈæsɪd]	adj. 1. 酸味的，苦味的 2. 尖刻的 n. 1. 酸(含氢的化学物质) 2. 迷幻药		Try to recall "acid" before checking the answer.	core,official
word	acknowledge	[əkˈnɒlɪdʒ]	v. 1. 承认 2. 告知收到(信件、礼物等) 3. 表示感谢		Try to recall "acknowledge" before checking the answer.	core,official
word	acquaint	[əˈkweɪnt]	v. 使认识，使了解		Try to recall "acquaint" before checking the answer.	core,official
word	acquaintance	[əˈkweɪntəns]	n. 1. 相识，了解 2. 相识的人，熟人		Try to recall "acquaintance" before checking the answer.	core,official
word	acquire	[əˈkwaɪə]	v. 1. 取得，获得，习得 2. 学到(知识等)		Try to recall "acquire" before checking the answer.	core,official
word	activate	[ˈæktɪveɪt]	v. 1. 使活动，使活跃，使积极 2. 刺激，激化		Try to recall "activate" before checking the answer.	core,official
word	acute	[əˈkjuːt]	adj. 1. 尖锐的，锐角的 2. 激烈的，严重的 3. 敏锐的 4. (疾病)急性的，(疼痛)剧烈的		Try to recall "acute" before checking the answer.	core,official
word	adapt	[əˈdæpt]	v. 1. 使适应，适合 2. 改编，改写		Try to recall "adapt" before checking the answer.	core,official
word	addict	[ˈædɪkt; əˈdɪkt]	n. 1. 有瘾的人 2. 对某事有强烈兴趣的人		Try to recall "addict" before checking the answer.	core,official
word	addition	[əˈdɪʃən]	n. 加，加法 || in addition (to)另外，除…之外		Try to recall "addition" before checking the answer.	core,official
word	additional	[əˈdɪʃənəl]	adj. 附加的，追加的，另外的		Try to recall "additional" before checking the answer.	core,official
word	adequate	[ˈædɪkwɪt]	adj. 适当的，充分的，足够的		Try to recall "adequate" before checking the answer.	core,official
word	adhere	[ədˈhɪə]	v. 1. 粘附， 粘着 2. 坚持，遵循		Try to recall "adhere" before checking the answer.	core,official
word	adjacent	[əˈdʒeɪsənt]	adj. 邻近的		Try to recall "adjacent" before checking the answer.	core,official
word	adjoin	[əˈdʒɔɪn]	v. 贴近，相接		Try to recall "adjoin" before checking the answer.	core,official
word	adjust	[əˈdʒʌst]	v. 1. 整顿，整理，安排 2. 使适应于(新环境等)		Try to recall "adjust" before checking the answer.	core,official
word	administration	[ədˌmɪnɪˈstreɪʃən]	n. 1. (行政)管理 2. (AmE)政府		Try to recall "administration" before checking the answer.	core,official
word	admit	[ədˈmɪt]	v. 1. 允许(人或物)进入 2. 承认，供认，招认 3. (指在一范围内)可容纳(某人或某事) || admit of …容纳得下，有…的余地		Try to recall "admit" before checking the answer.	core,official
word	adolescent	[ˌædəˈlesənt]	adj. 青少年期的 n. 青少年		Try to recall "adolescent" before checking the answer.	core,official
word	adopt	[əˈdɒpt]	v. 1. 采用，采纳，采取(态度等) 2. 收养 3. 接受某种习俗 4. 正式通过		Try to recall "adopt" before checking the answer.	core,official
word	adore	[əˈdɔː]	v. 1. 敬慕，钟爱，崇拜 2. (infml)很喜欢		Try to recall "adore" before checking the answer.	core,official
word	advantage	[ədˈvɑːntɪdʒ]	n. 优势，益处，利益 || take advantage of利用，乘…机 /to one’s advantage对某人有利		Try to recall "advantage" before checking the answer.	core,official
word	adverse	[ˈædvɜːs]	adj. 不利的，相反的，敌对的		Try to recall "adverse" before checking the answer.	core,official
word	advocate	[ˈædvəkeɪt]	v. 拥护，提倡 [ˈædvəkɪt] n. 提倡者，拥护者		Try to recall "advocate" before checking the answer.	core,official
word	aerial	[ˈeərɪəl]	adj. 1. 空气的，大气的 2. 航空的		Try to recall "aerial" before checking the answer.	core,official
word	aesthetic	[iːsˈθetik]	a. 美学的，审美的，有美感的		Try to recall "aesthetic" before checking the answer.	core,official
word	affection	[əˈfekʃən]	n. 慈爱，友爱		Try to recall "affection" before checking the answer.	core,official
word	affiliate	[əˈfɪlɪeɪt]	v. (指团体)加入(联合),使隶属，附属于		Try to recall "affiliate" before checking the answer.	core,official
word	affirm	[əˈfɜːm]	v. 坚称，断言，肯定地说		Try to recall "affirm" before checking the answer.	core,official
word	afflict	[əˈflɪkt]	v. 使身体(精神)痛苦，折磨		Try to recall "afflict" before checking the answer.	core,official
word	aggregate	[ˈæɡrɪɡeɪt]	n. 总数，合计		Try to recall "aggregate" before checking the answer.	core,official
word	aggressive	[əˈɡresɪv]	adj. 1. 侵略性的， 攻击性的，爱寻衅的 2. 有进取心的		Try to recall "aggressive" before checking the answer.	core,official
word	agony	[ˈæɡənɪ]	n. 1. 极度的痛苦 2. 痛苦的挣扎		Try to recall "agony" before checking the answer.	core,official
word	agreeable	[əˈɡriːəbl]	adj. 1. 惬意的，爽快的 2. 易相处的 3. 适宜的，适合的		Try to recall "agreeable" before checking the answer.	core,official
word	aid	[eɪd]	v. 援助，帮助 n. 1. 援助，帮助，救护 2. 助手，辅助物		Try to recall "aid" before checking the answer.	core,official
word	air-condition	[ˈeәkәnˌdiʃən]	v. 设以空调设备，用空调调节		Try to recall "air-condition" before checking the answer.	core,official
word	aisle	[aɪl]	n. (教堂、戏院等的)通道，走廊		Try to recall "aisle" before checking the answer.	core,official
word	alarm	[əˈlɑːm]	n. 1. 警报 2. 惊恐 v. 1. 向…报警，使警觉 2. 使惊恐		Try to recall "alarm" before checking the answer.	core,official
word	album	[ˈælbəm]	n. 照相簿，邮票册		Try to recall "album" before checking the answer.	core,official
word	alcohol	[ˈælkəhɒl]	n. 乙醇，酒精		Try to recall "alcohol" before checking the answer.	core,official
word	alert	[əˈlɜːt]	adj. 1. 警惕的，警觉的 2. 敏捷的，灵活的 n. 警报 ||on the alert (for)警惕着，对…保持戒备(状态) v. 向…发出警报		Try to recall "alert" before checking the answer.	core,official
word	alien	[ˈeɪlɪən]	n. 外侨，外国人 adj. 1. 外国的，异邦的 2. 敌对的		Try to recall "alien" before checking the answer.	core,official
word	alienate	[ˈeɪlɪəneɪt]	v. 使疏远，离间		Try to recall "alienate" before checking the answer.	core,official
word	allege	[əˈledʒ]	v. (在提不出证明的情况下)断言，声称		Try to recall "allege" before checking the answer.	core,official
word	alleviate	[əˈliːvɪeɪt]	v. 缓和，减轻(痛苦等)		Try to recall "alleviate" before checking the answer.	core,official
word	alliance	[əˈlaɪəns]	n. 同盟，联盟		Try to recall "alliance" before checking the answer.	core,official
word	allocate	[ˈæləkeɪt]	v. 分配，配给		Try to recall "allocate" before checking the answer.	core,official
word	alloy	[ˈælɔɪ]	n. 合金		Try to recall "alloy" before checking the answer.	core,official
word	alter	[ˈɔːltə]	v. 变动		Try to recall "alter" before checking the answer.	core,official
word	alternate	[ɔːlˈtɜːnət]	adj. 交替的，轮流的，交错的 [ˈɔːltəneɪt] v. (使)交替，(使)轮流		Try to recall "alternate" before checking the answer.	core,official
word	alternative	[ɔːlˈtɜːnətɪv]	adj. 1. 两者(或两者以上)选一的，另一可供选择的 2. 选择性的 n. 1. 取舍，抉择 2. 替换物，可供选择的方法		Try to recall "alternative" before checking the answer.	core,official
word	ambiguous	[æmˈbɪɡjʊəs]	adj. 模棱两可的，意义不明确的		Try to recall "ambiguous" before checking the answer.	core,official
word	ambition	[æmˈbɪʃən]	n. 1. 志向，抱负，雄心 2. 野心，奢望		Try to recall "ambition" before checking the answer.	core,official
word	ambitious	[æmˈbɪʃəs]	adj. 1. 有雄心的，野心勃勃的 2. 劲头十足的		Try to recall "ambitious" before checking the answer.	core,official
word	amend	[əˈmend]	v. 修改，修正，改进		Try to recall "amend" before checking the answer.	core,official
word	ammunition	[ˌæmjʊˈnɪʃən]	n. 弹药		Try to recall "ammunition" before checking the answer.	core,official
word	amplify	[ˈæmplɪfaɪ]	v. 1. 详述，详加解说 2. 放大(声音等)，增强(音量)		Try to recall "amplify" before checking the answer.	core,official
word	analogy	[əˈnælədʒɪ]	n. 1. 相似，类似 2. 类推，类比，比拟		Try to recall "analogy" before checking the answer.	core,official
word	analyse	[ˈænәlaiz]	v. 分析，细察，分解		Try to recall "analyse" before checking the answer.	core,official
word	analysis	[əˈnæləsɪs]	(pl analyses) n. 分析，分解 || in the last (final) analysis归根结底，总而言之		Try to recall "analysis" before checking the answer.	core,official
word	ancestor	[ˈænsestə]	n. 祖先，祖宗		Try to recall "ancestor" before checking the answer.	core,official
word	ancient	[ˈeɪnʃənt]	adj. 古代的，古老的，古式的		Try to recall "ancient" before checking the answer.	core,official
word	annoy	[əˈnɔɪ]	v. 1. 使烦恼，使生气 2. 打搅		Try to recall "annoy" before checking the answer.	core,official
word	annual	[ˈænjʊəl]	adj. 每年的，年度的		Try to recall "annual" before checking the answer.	core,official
word	anonymous	[əˈnɒnɪməs]	adj. 无名的，不具名的		Try to recall "anonymous" before checking the answer.	core,official
word	anticipate	[ænˈtɪsɪpeɪt]	v. 1. 预期，预料，期待 2. 抢先行动，先发制人 3. 预先考虑到，料到…并采取行动		Try to recall "anticipate" before checking the answer.	core,official
word	anxiety	[æŋˈzaɪətɪ]	n. 1. 忧虑，担心，焦虑 2. 渴望，热望		Try to recall "anxiety" before checking the answer.	core,official
word	apartment	[əˈpɑːtmənt]	n. 1. 一套房间 2. 一套公寓房间		Try to recall "apartment" before checking the answer.	core,official
word	apology	[əˈpɒlədʒɪ]	n. 1. 道歉，认错，谢罪 2. (为信仰等的)辩解		Try to recall "apology" before checking the answer.	core,official
word	apparatus	[ˌæpəˈreɪtəs]	(pl apparatus, apparatuses) n. 器械，设备		Try to recall "apparatus" before checking the answer.	core,official
word	appeal	[əˈpiːl]	n. 1. 感染力，吸引力 2. 恳求，呼吁 3. 上诉		Try to recall "appeal" before checking the answer.	core,official
word	appearance	[əˈpɪərəns]	n. 1. 出现，出场，露面 2. 外貌，外观，外表		Try to recall "appearance" before checking the answer.	core,official
word	appease	[əˈpiːz]	v. 使满足，平息，抚慰		Try to recall "appease" before checking the answer.	core,official
word	appendix	[əˈpendɪks]	(pl appendixes appendices) n. 1. 附录 2. 末尾 3. 阑尾		Try to recall "appendix" before checking the answer.	core,official
word	applaud	[əˈplɔːd]	v. 1. 鼓掌，欢迎，欢呼 2. 赞成，称赞		Try to recall "applaud" before checking the answer.	core,official
word	appliance	[əˈplaɪəns]	n. 器具，机械，装置		Try to recall "appliance" before checking the answer.	core,official
word	application	[ˌæplɪˈkeɪʃən]	n. 1. 请求，申请，申请表 2. 应用，适用，运用 3. 施用，敷用药等		Try to recall "application" before checking the answer.	core,official
word	apply	[əˈplaɪ]	v. 1. 申请，请求 2. 应用，施用，运用 3. 适用		Try to recall "apply" before checking the answer.	core,official
word	appraisal	[əˈpreɪzəl]	n. 评定，鉴定，评价		Try to recall "appraisal" before checking the answer.	core,official
word	approach	[əˈprəʊtʃ]	v. 1. 靠近，接近 2. 与…打交道 3. 探讨，看待，处理 n. 1. 靠近，接近 2. 探讨，态度，方法		Try to recall "approach" before checking the answer.	core,official
word	appropriate	[əˈprəʊprɪɪt]	adj. 适合的，适宜的		Try to recall "appropriate" before checking the answer.	core,official
word	approve	[əˈpruːv]	v. 1. 批准，通过 2. 赞成，称许		Try to recall "approve" before checking the answer.	core,official
word	apt	[æpt]	adj. 1. 恰当的，贴切的 2. 易于…的		Try to recall "apt" before checking the answer.	core,official
word	arc	[ɑːk]	n. 弧线，弧形		Try to recall "arc" before checking the answer.	core,official
word	arena	[əˈriːnə]	n. 1. (古罗马圆形剧场中央的)竞技场地，竞技场 2. 活动场所，竞争场所		Try to recall "arena" before checking the answer.	core,official
word	argue	[ˈɑːɡjuː]	v. 辩论，争论		Try to recall "argue" before checking the answer.	core,official
word	armor	[ˈɑːmә]	n. 盔甲，潜水服，装甲 v. 为……装甲		Try to recall "armor" before checking the answer.	core,official
word	arouse	[əˈraʊz]	v. 1. 唤醒 2. 唤起，激起，引起(注意、同情、嫉妒、怀疑等)		Try to recall "arouse" before checking the answer.	core,official
word	arrange	[əˈreɪndʒ]	v. 1. 整理，分类，排列 2. 筹备，安排 3. 商妥，商定		Try to recall "arrange" before checking the answer.	core,official
word	arrangement	[əˈreɪndʒmənt]	n. 1. 整理，排列，布置 2. 安排，准备，筹备 3. 商定		Try to recall "arrangement" before checking the answer.	core,official
word	array	[əˈreɪ]	n. 1. 展示，陈列 2. 排列整齐的一队人，一长列(物品) 3. (特殊场合穿的)盛装		Try to recall "array" before checking the answer.	core,official
word	arrest	[əˈrest]	v. 1. 逮捕，拘留，扣留 2. 抓住，吸引 3. 阻止，阻碍，抑制		Try to recall "arrest" before checking the answer.	core,official
word	arrogant	[ˈærəɡənt]	adj·傲慢无礼的，骄傲自大的		Try to recall "arrogant" before checking the answer.	core,official
word	artery	[ˈɑːtərɪ]	n. 1. 动脉 2. 干线，要道(道路、铁路等)		Try to recall "artery" before checking the answer.	core,official
word	articulate	[ɑːˈtɪkjʊlɪt]	v. 1. 清楚明白地表 2. 用关节连接		Try to recall "articulate" before checking the answer.	core,official
word	artificial	[ˌɑːtɪˈfɪʃəl]	adj. 1. 人造的，人工的 2. 假装的，不自然的		Try to recall "artificial" before checking the answer.	core,official
word	artillery	[ɑːˈtɪlərɪ]	n. 大炮，炮兵部队		Try to recall "artillery" before checking the answer.	core,official
word	ascend	[əˈsend]	v. 登高，上升，升高		Try to recall "ascend" before checking the answer.	core,official
word	ascertain	[ˌæsəˈteɪn]	v. 发现，查明，确定		Try to recall "ascertain" before checking the answer.	core,official
word	ascribe	[əˈskraɪb]	v. 把…归因于，认为…是某人所做		Try to recall "ascribe" before checking the answer.	core,official
word	aspect	[ˈæspekt]	n. 1. 方面 2. 面貌，外表		Try to recall "aspect" before checking the answer.	core,official
word	aspiration	[ˌæspɪˈreɪʃən]	n. 渴望，志向，抱负		Try to recall "aspiration" before checking the answer.	core,official
word	assassination	[әˌsæsiˈneiʃәn]	n. 暗杀，行刺		Try to recall "assassination" before checking the answer.	core,official
word	assault	[əˈsɔːlt]	n. 猛烈地攻击，突击，突袭 v. 1. 突击，袭击 2. 殴打 3. 强奸		Try to recall "assault" before checking the answer.	core,official
word	assemble	[əˈsembl]	v. 1. 聚集，集合 2. 装配(机器等)		Try to recall "assemble" before checking the answer.	core,official
word	assert	[əˈsɜːt]	v. 1. 宣称，断言 2. 维护，坚持(权利等)		Try to recall "assert" before checking the answer.	core,official
word	assess	[əˈses]	v. 评估(价值或数额)，评定，核定		Try to recall "assess" before checking the answer.	core,official
word	asset	[ˈæset]	n. 1. 资产，财产 2. 有价值的特性(技能)		Try to recall "asset" before checking the answer.	core,official
word	assign	[əˈsaɪn]	v. 1. 分配 (房屋、土地、工作、任务等) 2. 指定(时间、地点等) 3. 委派，指派		Try to recall "assign" before checking the answer.	core,official
word	assignment	[əˈsaɪnmənt]	n. 1. 分配，委派 2. (分派)的任务，指定的(课外)作业		Try to recall "assignment" before checking the answer.	core,official
word	assimilate	[əˈsɪməleɪt]	v. 1. 消化，吸收(食物、思想等) 2. 使…同化		Try to recall "assimilate" before checking the answer.	core,official
word	assistance	[əˈsɪstəns]	n. 援助，帮助		Try to recall "assistance" before checking the answer.	core,official
word	associate	[əˈsəʊʃɪeɪt]	v. 1. 结交，交往 2. 使联合 3. 联想 [əˈsəʊʃɪət] n. 同事，同伴		Try to recall "associate" before checking the answer.	core,official
word	association	[əˌsəʊsiˈeɪʃən]	n. 1. 联合，联盟 2. 联想 3. 协会，社团		Try to recall "association" before checking the answer.	core,official
word	assume	[əˈsjuːm]	v. 1. 假定，设想 2. 承担，接受 3. 装出，佯作 || assuming that… 假定…		Try to recall "assume" before checking the answer.	core,official
word	assumption	[əˈsʌmpʃən]	n. 1. 假定，假设 2. 假装		Try to recall "assumption" before checking the answer.	core,official
word	assurance	[əˈʃʊərəns]	n. 1. 担保，保证 2. 肯定，确信 3. 自信		Try to recall "assurance" before checking the answer.	core,official
word	assure	[əˈʃʊə]	v. 1. 使确信，使放心，向…保证 2. 保障		Try to recall "assure" before checking the answer.	core,official
word	athlete	[ˈæθliːt]	n. 运动员		Try to recall "athlete" before checking the answer.	core,official
word	atlas	[ˈætləs]	n. 地图册		Try to recall "atlas" before checking the answer.	core,official
word	atmosphere	[ˈætməsfɪə]	n. 1. 空气 2. 大气，大气层 3. 气氛，环境		Try to recall "atmosphere" before checking the answer.	core,official
word	attach	[əˈtætʃ]	v. 1. 缚，系，贴 2. 参加(党派) 3. 把(重点等)放在		Try to recall "attach" before checking the answer.	core,official
word	attack	[əˈtæk]	n. 攻击，进攻，攻打 v. 攻击，进攻，侵袭		Try to recall "attack" before checking the answer.	core,official
word	attain	[əˈteɪn]	v. 1. 达到，完成，获得，实现 2. 到达，至		Try to recall "attain" before checking the answer.	core,official
word	attempt	[əˈtempt]	v. 试做，尝试，企图 n. 1. 尝试，企图 2. 试做的事，未成功的事 3. 攻击，侵害		Try to recall "attempt" before checking the answer.	core,official
word	attendant	[əˈtendənt]	n. 1. 侍者，服务员 2. 护理员		Try to recall "attendant" before checking the answer.	core,official
word	attitude	[ˈætɪtjuːd]	n. 1. 态度，看法 2. 姿势		Try to recall "attitude" before checking the answer.	core,official
word	attract	[əˈtrækt]	v. 1. 引起…的注意(兴趣) 2. 吸引		Try to recall "attract" before checking the answer.	core,official
word	attractive	[əˈtræktɪv]	adj. 有吸引力的，诱人的，令人愉快的		Try to recall "attractive" before checking the answer.	core,official
word	attribute 2	[ˈætrɪbjʊːt]	n. 1. 性质，属性，特质 2. 人(地位)的象征(标志)		Try to recall "attribute 2" before checking the answer.	core,official
word	auction	[ˈɔːkʃən]	n. 拍卖 v. 以拍卖方式出售，拍卖		Try to recall "auction" before checking the answer.	core,official
word	audience	[ˈɔːdɪəns]	n. 1. 听众，观众 2. 接见，会见		Try to recall "audience" before checking the answer.	core,official
word	authentic	[ɔːˈθentɪk]	adj. 真正的，真迹的，原作的，正宗的		Try to recall "authentic" before checking the answer.	core,official
word	author	[ˈɔːθə]	n. 1. 著者，作家 2. 创造者，创始人，发起人		Try to recall "author" before checking the answer.	core,official
word	authoritative	[ɔːˈθɒrətətɪv]	adj. 具权威性的，可信赖的		Try to recall "authoritative" before checking the answer.	core,official
word	authority	[ɔːˈθɒrətɪ;]	n. 1. 权，权力 2. 权威 3. (pl art)当局，官方 4. 职权，权限		Try to recall "authority" before checking the answer.	core,official
word	authorize	[ˈɒːθәraiz]	v. 授权，批准，委托		Try to recall "authorize" before checking the answer.	core,official
word	autonomous	[ɔːˈtɒnəməs]	adj. 自治的，自主的，有自治权的		Try to recall "autonomous" before checking the answer.	core,official
word	autonomy	[ɔːˈtɒnəmɪ]	n. 自治，自治权		Try to recall "autonomy" before checking the answer.	core,official
word	avail	[əˈveɪl]	v. 利用		Try to recall "avail" before checking the answer.	core,official
word	available	[əˈveɪləbl]	adj. 可用的，可得到的		Try to recall "available" before checking the answer.	core,official
word	avert	[əˈvɜːt]	v. 1. 防止，避免 2. 移开(目光)，避开不看		Try to recall "avert" before checking the answer.	core,official
word	aviation	[ˌeɪvɪˈeɪʃən]	n. 航空，航空学		Try to recall "aviation" before checking the answer.	core,official
word	avoid	[əˈvɔɪd]	v. 避免，回避，躲开		Try to recall "avoid" before checking the answer.	core,official
word	award	[əˈwɔːd]	v. 授予，给以奖励 n. 奖品		Try to recall "award" before checking the answer.	core,official
word	aware	[əˈweə]	adj. 知晓，察觉，意识到		Try to recall "aware" before checking the answer.	core,official
word	awkward	[ˈɔːkwəd]	adj. 1. 笨拙的，不熟练的 2. 使用不便的 3. 尴尬的 4. 难应付的，难 处理的		Try to recall "awkward" before checking the answer.	core,official
word	axis	[ˈæksɪs]	n. 1. 轴，轴心 2. 轴线		Try to recall "axis" before checking the answer.	core,official
word	background	[ˈbækɡraʊnd]	n. 1. 背景 2. 个人的背景资料		Try to recall "background" before checking the answer.	core,official
word	bacteria	[bækˈtɪərɪə]	n. 细菌		Try to recall "bacteria" before checking the answer.	core,official
word	ballet	[ˈbæleɪ]	n. 芭蕾舞(曲、剧、团)		Try to recall "ballet" before checking the answer.	core,official
word	bamboo	[bæmˈbuː]	n. 竹子，竹竿		Try to recall "bamboo" before checking the answer.	core,official
word	band	[bænd]	n. 1. 一帮，一伙(人) 2. 乐队 3. 带，带形物，箍 4. 镶边，嵌条 5. (收音机)波段，频带 v. 1. 用带绑扎 2. 联合		Try to recall "band" before checking the answer.	core,official
word	bandage	[ˈbændɪdʒ]	n. 绷带 v. 用绷带包扎		Try to recall "bandage" before checking the answer.	core,official
word	bang	[bæŋ]	v. 1. 猛撞，猛敲 2. 砰的关上(门等) 3. 发出砰的一声 n. 1. 猛击 2. 砰的一响		Try to recall "bang" before checking the answer.	core,official
word	banquet	[ˈbæŋkwɪt]	n. 宴会 v. 宴请，参加宴会		Try to recall "banquet" before checking the answer.	core,official
word	barely	[ˈbeəlɪ]	adv. 勉强，好容易才		Try to recall "barely" before checking the answer.	core,official
word	bargain	[ˈbɑːɡɪn]	v. 议价，讨价还价 n. 1. 廉价货 2. 合同，协议 3. 交易 || drive a bargain讨价还价		Try to recall "bargain" before checking the answer.	core,official
word	barren	[ˈbærən]	adj. 1. (土地)贫瘠的 2. 不孕的，不育的，不结果实的 3. 无用的，无效果的，无实际内容的		Try to recall "barren" before checking the answer.	core,official
word	barricade	[ˌbærɪˈkeɪd]	n. 路障，街垒 v. 设路障，封闭，拦阻		Try to recall "barricade" before checking the answer.	core,official
word	barrier	[ˈbærɪə]	n. 1. 栅栏，篱笆 2. 障碍，障碍物		Try to recall "barrier" before checking the answer.	core,official
word	basis	[ˈbeɪsɪs]	(pl bases) n. 基础，根据 || on the basis of 根据		Try to recall "basis" before checking the answer.	core,official
word	batch	[bætʃ]	n. 一批，一组，一群		Try to recall "batch" before checking the answer.	core,official
word	batter	[ˈbætə]	v. 1. 连续猛击，炮击 2. 打烂，用旧		Try to recall "batter" before checking the answer.	core,official
word	beam	[biːm]	n. 1. 梁 2. (日光、灯光等)(一)道，(一)束 v. 1. 微笑 2. 发光		Try to recall "beam" before checking the answer.	core,official
word	beforehand	[bɪˈfɔːhænd]	adv. 预先，事先		Try to recall "beforehand" before checking the answer.	core,official
word	behave	[bɪˈheɪv]	v. 举动，表现，检点(自己的行为) || Behave yourself! 放规矩点!		Try to recall "behave" before checking the answer.	core,official
word	behavior	[biˈheivjә]	n. 行为，举止		Try to recall "behavior" before checking the answer.	core,official
word	belly	[ˈbelɪ]	n. 1. 腹部 2. 胃部		Try to recall "belly" before checking the answer.	core,official
word	beneficial	[ˌbenɪˈfɪʃəl]	adj. 有益的，有好处的		Try to recall "beneficial" before checking the answer.	core,official
word	benefit	[ˈbenɪfɪt]	n. 1. 利益，好处 2. 恩惠 3. 津贴，救济金，保险赔偿费 v. .有益于		Try to recall "benefit" before checking the answer.	core,official
word	betray	[bɪˈtreɪ]	v. 1. 背叛，出卖 2. 辜负，不忠于 3. 泄露(秘密等)		Try to recall "betray" before checking the answer.	core,official
word	bewilder	[bɪˈwɪldə]	v. 迷惑，把…弄糊涂		Try to recall "bewilder" before checking the answer.	core,official
word	beyond	[bɪˈjɒnd]	prep. 1. 在…之外，在…的更远处 2. 到…以后，晚于 3. 超出(能力，范围等) 4. 除了…之外		Try to recall "beyond" before checking the answer.	core,official
word	bibliography	[ˌbɪblɪˈɒɡrəfɪ]	n. 书目，目录，参考书目		Try to recall "bibliography" before checking the answer.	core,official
word	biography	[baɪˈɒɡrəfɪ]	n. 1. 传记 2. 传记文学		Try to recall "biography" before checking the answer.	core,official
