# id: cet4-core
# title: CET-4 重点词
# exam: CET-4
# track: Core Vocabulary
# description: 基于公开词表整理的 CET-4 重点词，用于速刷与拼写回忆。
# accent: amber
kind	term	pronunciation	meaning	phrases	example	tags
word	achievement	[əˈt∫iːvmənt]	n.完成；成就/绩		Try to recall "achievement" before checking the answer.	core,official
word	acid	[ˈæsid]	n.酸；酸的，酸性的		Try to recall "acid" before checking the answer.	core,official
word	acquaintance	[əˈkweintəns]	n.认识;了解;熟人		Try to recall "acquaintance" before checking the answer.	core,official
word	acquire	[əˈkwaiə]	vt.取得；获得；学到		Try to recall "acquire" before checking the answer.	core,official
word	acre	[ˈeikə]	n.英亩(=6.07 亩)		Try to recall "acre" before checking the answer.	core,official
word	across	[əˈkrɔs]	prep.横过；在…对面		Try to recall "across" before checking the answer.	core,official
word	act	[ækt]	vi.行动；见效 n.行为		Try to recall "act" before checking the answer.	core,official
word	action	[ˈæk∫ən]	n.行动；作用；功能		Try to recall "action" before checking the answer.	core,official
word	active	[ˈæktiv]	a.活跃的；积极的		Try to recall "active" before checking the answer.	core,official
word	activity	[ækˈtiviti]	n.活动；活力；行动		Try to recall "activity" before checking the answer.	core,official
word	actor	[ˈæktə]	n.男演员；演剧的人		Try to recall "actor" before checking the answer.	core,official
word	actress	[ˈæktris]	n.女演员		Try to recall "actress" before checking the answer.	core,official
word	actual	[ˈæktjuəl]	a.实际的；现行的		Try to recall "actual" before checking the answer.	core,official
word	actually	[ˈækt∫uəli]	ad.实际上；竟然		Try to recall "actually" before checking the answer.	core,official
word	acute	[əˈkjuːt]	a.尖的，锐的；敏锐的		Try to recall "acute" before checking the answer.	core,official
word	ad	[æd]	n.广告		Try to recall "ad" before checking the answer.	core,official
word	adapt	[əˈdæpt]	vt.使适应；改编		Try to recall "adapt" before checking the answer.	core,official
word	add	[æd]	vt.添加，附加，掺加		Try to recall "add" before checking the answer.	core,official
word	addition	[əˈdi∫ən]	n.加，加法；附加物		Try to recall "addition" before checking the answer.	core,official
word	additional	[əˈdi∫ənl]	a.附加的，追加的		Try to recall "additional" before checking the answer.	core,official
word	address	[əˈdres]	n.地址；演说；谈吐		Try to recall "address" before checking the answer.	core,official
word	adequate	[ˈædikwit]	a.足够的；可以胜任的		Try to recall "adequate" before checking the answer.	core,official
word	adjective	[ˈædʒiktiv]	n.形容词 a.形容词的		Try to recall "adjective" before checking the answer.	core,official
word	adjust	[əˈdʒʌst]	vt.调整，调节；校正		Try to recall "adjust" before checking the answer.	core,official
word	administration	[ədminisˈtrei∫ən]	n.管理；管理部门		Try to recall "administration" before checking the answer.	core,official
word	admire	[ədˈmaiə]	vt.钦佩，羡慕，赞赏		Try to recall "admire" before checking the answer.	core,official
word	admission	[ədˈmi∫ən]	n.允许进入；承认		Try to recall "admission" before checking the answer.	core,official
word	admit	[ədˈmit]	vt.承认；准许…进入		Try to recall "admit" before checking the answer.	core,official
word	adopt	[əˈdɔpt]	vt.收养；采用；采取		Try to recall "adopt" before checking the answer.	core,official
word	adult	[ˈædʌlt]	n.成年人 a.成年的		Try to recall "adult" before checking the answer.	core,official
word	advance	[ədˈvɑːns]	vi.前进；提高 n.进展		Try to recall "advance" before checking the answer.	core,official
word	advanced	[ədˈvɑːnst]	a.先进的；高级的		Try to recall "advanced" before checking the answer.	core,official
word	advantage	[ədˈvɑːntidʒ]	n.优点，优势；好处		Try to recall "advantage" before checking the answer.	core,official
word	adventure	[ədˈvent∫ə]	n.冒险；惊险活动		Try to recall "adventure" before checking the answer.	core,official
word	adverb	[ˈædvəːb]	n.副词		Try to recall "adverb" before checking the answer.	core,official
word	advertisement	[ədˈvəːtismənt]	n.广告；公告；登广告		Try to recall "advertisement" before checking the answer.	core,official
word	advice	[ədˈvais]	n.劝告；忠告；意见		Try to recall "advice" before checking the answer.	core,official
word	advisable	[ədˈvaizəbl]	n.明智的；可取的		Try to recall "advisable" before checking the answer.	core,official
word	advise	[ədˈvaiz]	vt.劝告；建议；通知		Try to recall "advise" before checking the answer.	core,official
word	aeroplane	[ˈeərəplein]	n.飞机		Try to recall "aeroplane" before checking the answer.	core,official
word	affair	[əˈfeə]	n.事情，事件；事务		Try to recall "affair" before checking the answer.	core,official
word	affect	[əˈfekt]	vt.影响；感动		Try to recall "affect" before checking the answer.	core,official
word	affection	[əˈfek∫ən]	n.慈爱，爱；爱慕		Try to recall "affection" before checking the answer.	core,official
word	afford	[əˈfɔːd]	vt.担负得起…；提供		Try to recall "afford" before checking the answer.	core,official
word	afraid	[əˈfreid]	a.害怕的；担心的		Try to recall "afraid" before checking the answer.	core,official
word	africa	[ˈæfrikə]	n.非洲		Try to recall "africa" before checking the answer.	core,official
word	african	[ˈæfrikən]	a.非洲的 n.非洲人		Try to recall "african" before checking the answer.	core,official
word	after	[ˈɑːftə]	prep.在…以后；次于		Try to recall "after" before checking the answer.	core,official
word	afternoon	[ˈɑːftəˈnuːn]	n.下午，午后		Try to recall "afternoon" before checking the answer.	core,official
word	afterward	[ˈɑːftəwəd]	ad.后来，以后		Try to recall "afterward" before checking the answer.	core,official
word	again	[əˈgein]	ad.又一次；而且		Try to recall "again" before checking the answer.	core,official
word	against	[əˈgeinst]	prep.倚在；逆，对着		Try to recall "against" before checking the answer.	core,official
word	age	[eidʒ]	n.年龄；时代 vt.变老		Try to recall "age" before checking the answer.	core,official
word	agency	[ˈeidʒənsi]	n.经办；代理；代理处		Try to recall "agency" before checking the answer.	core,official
word	agent	[ˈeidʒənt]	n.代理人，代理商		Try to recall "agent" before checking the answer.	core,official
word	aggressive	[əˈgresiv]	a.侵略的；好斗的		Try to recall "aggressive" before checking the answer.	core,official
word	ago	[əˈgəu]	ad.以前		Try to recall "ago" before checking the answer.	core,official
word	agony	[ˈægəni]	n.极度痛苦		Try to recall "agony" before checking the answer.	core,official
word	agree	[əˈgriː]	vi.同意；持相同意见		Try to recall "agree" before checking the answer.	core,official
word	agreement	[əˈgriːmənt]	n.协定，协议；同意		Try to recall "agreement" before checking the answer.	core,official
word	agriculture	[ˈægrikʌlt∫ə]	n.农业，农艺；农学		Try to recall "agriculture" before checking the answer.	core,official
word	ahead	[əˈhed]	ad.在前；向前；提前		Try to recall "ahead" before checking the answer.	core,official
word	aid	[eid]	n.帮助，救护；助手		Try to recall "aid" before checking the answer.	core,official
word	aim	[eim]	vi.瞄准，针对；致力		Try to recall "aim" before checking the answer.	core,official
word	air	[eə]	n.空气；空中；外观		Try to recall "air" before checking the answer.	core,official
word	aircraft	[ˈeəkrɑːft]	n.飞机，飞行器		Try to recall "aircraft" before checking the answer.	core,official
word	airline	[ˈeəlain]	n.航空公司；航线		Try to recall "airline" before checking the answer.	core,official
word	airplane	[ˈeəˌplein]	n.飞机		Try to recall "airplane" before checking the answer.	core,official
word	airport	[ˈeəpɔːt]	n.机场，航空站		Try to recall "airport" before checking the answer.	core,official
word	alarm	[əˈlɑːm]	n.惊恐，忧虑；警报		Try to recall "alarm" before checking the answer.	core,official
word	alcohol	[ˈælkəhɔl]	n.酒精，乙醇		Try to recall "alcohol" before checking the answer.	core,official
word	alike	[əˈlaik]	a.同样的，相同的		Try to recall "alike" before checking the answer.	core,official
word	alive	[əˈlaiv]	a.活着的；活跃的		Try to recall "alive" before checking the answer.	core,official
word	all	[ɔːl]	a.全部的 prep.全部		Try to recall "all" before checking the answer.	core,official
word	allow	[əˈlau]	vt.允许，准许；任		Try to recall "allow" before checking the answer.	core,official
word	alloy	[ˈælɔi]	n.合金；(金属的)成色		Try to recall "alloy" before checking the answer.	core,official
word	almost	[ˈɔːlməust]	ad.几乎，差不多		Try to recall "almost" before checking the answer.	core,official
word	alone	[əˈləun]	a.单独的 ad.单独地		Try to recall "alone" before checking the answer.	core,official
word	along	[əˈlɔŋ]	prep.沿着 ad.向前		Try to recall "along" before checking the answer.	core,official
word	aloud	[əˈlaud]	ad.出声地，大声地		Try to recall "aloud" before checking the answer.	core,official
word	alphabet	[ˈælfəbit]	n.字母表，字母系统		Try to recall "alphabet" before checking the answer.	core,official
word	already	[ɔːlˈredi]	ad.早已，已经		Try to recall "already" before checking the answer.	core,official
word	also	[ˈɔːlsəu]	ad.亦，也；而且，还		Try to recall "also" before checking the answer.	core,official
word	alter	[ˈɔːltə]	vt.改变，变更；改做		Try to recall "alter" before checking the answer.	core,official
word	alternative	[ɔːlˈtəːnətiv]	n.替换物；取舍，抉择		Try to recall "alternative" before checking the answer.	core,official
word	although	[ɔːlˈðəu]	conj.尽管，虽然		Try to recall "although" before checking the answer.	core,official
word	altitude	[ˈæltitjuːd]	n.高，高度；高处		Try to recall "altitude" before checking the answer.	core,official
word	altogether	[ˌɔːltəˈgeðə]	ad.完全；总而言之		Try to recall "altogether" before checking the answer.	core,official
word	aluminium	[ˌæljuːˈminjəm]	n.铝		Try to recall "aluminium" before checking the answer.	core,official
word	always	[ˈɔːlweiz]	ad.总是，一直；永远		Try to recall "always" before checking the answer.	core,official
word	amaze	[əˈmeiz]	vt.使惊奇，使惊愕		Try to recall "amaze" before checking the answer.	core,official
word	ambition	[æmˈbi∫ən]	n.雄心，抱负，野心		Try to recall "ambition" before checking the answer.	core,official
word	ambulance	[ˈæmbjuləns]	n.救护车；野战医院		Try to recall "ambulance" before checking the answer.	core,official
word	america	[əˈmerikə]	n.美洲；美国		Try to recall "america" before checking the answer.	core,official
word	american	[əˈmerikən]	a.美洲的 n.美国人		Try to recall "american" before checking the answer.	core,official
word	among	[əˈmʌŋ]	prep.在…之中		Try to recall "among" before checking the answer.	core,official
word	amongst	[əˈmʌŋst]	prep 在…之中(=among)		Try to recall "amongst" before checking the answer.	core,official
word	amount	[əˈmaunt]	n.总数；数量；和		Try to recall "amount" before checking the answer.	core,official
word	ampere	[ˈæmpiər]	n.安培		Try to recall "ampere" before checking the answer.	core,official
word	amplify	[ˈæmplifai]	vt.放大，增强；扩大		Try to recall "amplify" before checking the answer.	core,official
word	amuse	[əˈmjuːz]	vt.逗…乐；给…娱乐		Try to recall "amuse" before checking the answer.	core,official
word	analyse	[ˈænəlaiz]	vt.分析，分解，解析		Try to recall "analyse" before checking the answer.	core,official
word	analysis	[əˈnælisis]	n.分析，分解，解析		Try to recall "analysis" before checking the answer.	core,official
word	ancestor	[ˈænsistə]	n.祖宗，祖先		Try to recall "ancestor" before checking the answer.	core,official
word	anchor	[ˈæŋkə]	n.锚 vi.抛锚，停泊		Try to recall "anchor" before checking the answer.	core,official
word	ancient	[ˈein∫ənt]	a.古代的，古老的		Try to recall "ancient" before checking the answer.	core,official
word	and	[ænd]	conj.和，又，并，则		Try to recall "and" before checking the answer.	core,official
word	angel	[ˈeindʒəl]	n.天使，神差，安琪儿		Try to recall "angel" before checking the answer.	core,official
word	anger	[ˈæŋgə]	n.怒，愤怒 vt.使发怒		Try to recall "anger" before checking the answer.	core,official
word	angle	[ˈæŋgl]	n.角，角度		Try to recall "angle" before checking the answer.	core,official
word	angry	[ˈæŋgri]	a.愤怒的，生气的		Try to recall "angry" before checking the answer.	core,official
word	animal	[ˈæniməl]	n.动物，兽 a.动物的		Try to recall "animal" before checking the answer.	core,official
word	ankle	[ˈæŋkl]	n.踝，踝节部		Try to recall "ankle" before checking the answer.	core,official
word	announce	[əˈnauns]	vt.宣布，宣告，发表		Try to recall "announce" before checking the answer.	core,official
word	announcer	[əˈnaunsə]	n.宣告者；播音员		Try to recall "announcer" before checking the answer.	core,official
word	annoy	[əˈnɔi]	vt.使恼怒；打搅		Try to recall "annoy" before checking the answer.	core,official
word	annual	[ˈænjuəl]	a.每年的 n.年报		Try to recall "annual" before checking the answer.	core,official
word	another	[əˈnʌðə]	a.再一个的；别的		Try to recall "another" before checking the answer.	core,official
word	answer	[ˈɑːnsə]	vt.回答；响应；适应		Try to recall "answer" before checking the answer.	core,official
word	ant	[ænt]	n.蚂蚁		Try to recall "ant" before checking the answer.	core,official
word	anticipate	[ænˈtisipeit]	vt.预料，预期，期望		Try to recall "anticipate" before checking the answer.	core,official
word	anxiety	[æŋˈzaiəti]	n.焦虑，忧虑；渴望		Try to recall "anxiety" before checking the answer.	core,official
word	anxious	[ˈæŋk∫əs]	a.忧虑的；渴望的		Try to recall "anxious" before checking the answer.	core,official
word	any	[ˈeni]	a.什么，一些；任何的		Try to recall "any" before checking the answer.	core,official
word	anybody	[ˈeniˌbɔdi]	prep.任何人		Try to recall "anybody" before checking the answer.	core,official
word	anyhow	[ˈenihau]	ad.无论如何		Try to recall "anyhow" before checking the answer.	core,official
word	anyone	[ˈeniwʌn]	pron.任何人		Try to recall "anyone" before checking the answer.	core,official
word	anything	[ˈeniθiŋ]	pron.任何事物；一切		Try to recall "anything" before checking the answer.	core,official
word	anyway	[ˈeniwei]	ad.无论如何		Try to recall "anyway" before checking the answer.	core,official
word	anywhere	[ˈeniweə]	ad.在什么地方		Try to recall "anywhere" before checking the answer.	core,official
word	apart	[əˈpɑːt]	ad.相隔；分开；除去		Try to recall "apart" before checking the answer.	core,official
word	apartment	[əˈpɑːtmənt]	n.一套公寓房间		Try to recall "apartment" before checking the answer.	core,official
word	apologize	[əˈpɔlədʒaiz]	vi.道歉，谢罪，认错		Try to recall "apologize" before checking the answer.	core,official
word	apology	[əˈpɔlədʒi]	n.道歉，认错，谢罪		Try to recall "apology" before checking the answer.	core,official
word	apparatus	[ˌæpəˈreitəs]	n.器械，仪器；器官		Try to recall "apparatus" before checking the answer.	core,official
word	apparent	[əˈpærənt]	a.表面上的；明显的		Try to recall "apparent" before checking the answer.	core,official
word	appeal	[əˈpiːl]	vi.&n.呼吁；申述		Try to recall "appeal" before checking the answer.	core,official
word	appear	[əˈpiə]	vi.出现；来到；似乎		Try to recall "appear" before checking the answer.	core,official
word	appearance	[əˈpiərəns]	n.出现，来到；外观		Try to recall "appearance" before checking the answer.	core,official
word	appetite	[ˈæpitait]	n.食欲，胃口；欲望		Try to recall "appetite" before checking the answer.	core,official
word	apple	[ˈæpl]	n.苹果，苹果树		Try to recall "apple" before checking the answer.	core,official
word	appliance	[əˈplaiəns]	n.用具，器具，器械		Try to recall "appliance" before checking the answer.	core,official
word	applicable	[ˈæplikəbl]	a.能应用的；适当的		Try to recall "applicable" before checking the answer.	core,official
word	application	[ˌæpliˈkei∫ən]	n.请求，申请；施用		Try to recall "application" before checking the answer.	core,official
word	apply	[əˈplai]	vt.应用，实施，使用		Try to recall "apply" before checking the answer.	core,official
word	appoint	[əˈpɔint]	vt.任命，委任；约定		Try to recall "appoint" before checking the answer.	core,official
word	appointment	[əˈpɔintmənt]	n.任命;约定,约会		Try to recall "appointment" before checking the answer.	core,official
word	appreciate	[əˈpriː∫ieit]	vt.欣赏；领会；感谢		Try to recall "appreciate" before checking the answer.	core,official
word	approach	[əˈprəut∫]	vt.向…靠近 n.靠近		Try to recall "approach" before checking the answer.	core,official
word	appropriate	[əˈprəupriit]	a.适当的，恰当的		Try to recall "appropriate" before checking the answer.	core,official
word	approval	[əˈpruːvəl]	n.赞成，同意；批准		Try to recall "approval" before checking the answer.	core,official
word	approve	[əˈpruːv]	vt.赞成，称许；批准		Try to recall "approve" before checking the answer.	core,official
word	approximate	[əˈprɔksimeit]	a.近似的 vt.近似		Try to recall "approximate" before checking the answer.	core,official
word	approximately	[əprɔksiˈmətli]	ad.近似地，大约		Try to recall "approximately" before checking the answer.	core,official
word	april	[ˈeiprəl]	n.四月		Try to recall "april" before checking the answer.	core,official
word	arabian	[əˈreibjən]	a.阿拉伯的		Try to recall "arabian" before checking the answer.	core,official
word	arbitrary	[ˈɑːbitrəri]	a.随心所欲的；专断的		Try to recall "arbitrary" before checking the answer.	core,official
word	architecture	[ˈɑːkitekt∫ə]	n.建筑学；建筑式样		Try to recall "architecture" before checking the answer.	core,official
word	area	[ˈeəriə]	n.面积；地区；领域		Try to recall "area" before checking the answer.	core,official
word	argue	[ˈɑːgjuː]	vi.争论，争辩，辩论		Try to recall "argue" before checking the answer.	core,official
word	argument	[ˈɑːgjumənt]	n.争论，辩论；理由		Try to recall "argument" before checking the answer.	core,official
word	arise	[əˈraiz]	vi.出现；由…引起		Try to recall "arise" before checking the answer.	core,official
word	arithmetic	[əˈriθmətik]	n.算术，四则运算		Try to recall "arithmetic" before checking the answer.	core,official
word	arm	[ɑːm]	n.臂；臂状物；武器		Try to recall "arm" before checking the answer.	core,official
word	army	[ˈɑːmi]	n.军队；陆军		Try to recall "army" before checking the answer.	core,official
word	around	[əˈraund]	prep.在…周围		Try to recall "around" before checking the answer.	core,official
word	arouse	[əˈrauz]	vt.引起，唤起；唤醒		Try to recall "arouse" before checking the answer.	core,official
word	arrange	[əˈreindʒ]	vt.筹备；整理；调解		Try to recall "arrange" before checking the answer.	core,official
word	arrangement	[əˈreindʒmənt]	n.整理,排列;安排		Try to recall "arrangement" before checking the answer.	core,official
word	arrest	[əˈrest]	vt.逮捕，拘留；阻止		Try to recall "arrest" before checking the answer.	core,official
word	arrival	[əˈraivəl]	n.到达；到来；到达者		Try to recall "arrival" before checking the answer.	core,official
word	arrive	[əˈraiv]	vi.到达；来临；达到		Try to recall "arrive" before checking the answer.	core,official
word	arrow	[ˈærəu]	n.箭；箭状物		Try to recall "arrow" before checking the answer.	core,official
word	art	[ɑːt]	n.艺术，美术；技术		Try to recall "art" before checking the answer.	core,official
word	article	[ˈɑːtikl]	n.文章；条款；物品		Try to recall "article" before checking the answer.	core,official
word	artificial	[ˌɑːtiˈfi∫əl]	a.人工的；娇揉造作的		Try to recall "artificial" before checking the answer.	core,official
word	artist	[ˈɑːtist]	n.艺术家，美术家		Try to recall "artist" before checking the answer.	core,official
word	artistic	[ɑːˈtistik]	a.艺术的；艺术家的		Try to recall "artistic" before checking the answer.	core,official
word	as	[æz]	conj.当…的时候		Try to recall "as" before checking the answer.	core,official
word	ash	[æ∫]	n.灰，灰末；骨灰		Try to recall "ash" before checking the answer.	core,official
word	ashamed	[əˈ∫eimd]	a.惭愧(的)；羞耻(的)		Try to recall "ashamed" before checking the answer.	core,official
word	asia	[ˈei∫ə]	n.亚洲		Try to recall "asia" before checking the answer.	core,official
word	asian	[ˈei∫ən]	a.亚洲的 n.亚洲人		Try to recall "asian" before checking the answer.	core,official
word	aside	[əˈsaid]	ad.在旁边，到旁边		Try to recall "aside" before checking the answer.	core,official
word	ask	[ɑːsk]	vt.问；要求；邀请		Try to recall "ask" before checking the answer.	core,official
word	asleep	[əˈsliːp]	a.睡着的，睡熟的		Try to recall "asleep" before checking the answer.	core,official
word	aspect	[ˈæspekt]	n.方面；样子，外表		Try to recall "aspect" before checking the answer.	core,official
word	assemble	[əˈsembl]	vt.集合，召集；装配		Try to recall "assemble" before checking the answer.	core,official
word	assembly	[əˈsembli]	n.集合；集会；装配		Try to recall "assembly" before checking the answer.	core,official
word	assess	[əˈses]	vt.对(财产等)估价		Try to recall "assess" before checking the answer.	core,official
word	assign	[əˈsain]	vt.指派；分配；指定		Try to recall "assign" before checking the answer.	core,official
word	assignment	[əˈsainmənt]	n.任务，指定的作业		Try to recall "assignment" before checking the answer.	core,official
word	assist	[əˈsist]	vt.援助，帮助；搀扶		Try to recall "assist" before checking the answer.	core,official
word	assistant	[əˈsistənt]	n.助手，助理；助教		Try to recall "assistant" before checking the answer.	core,official
word	associate	[əˈsəu∫ieit]	vi.交往 n.伙伴，同事		Try to recall "associate" before checking the answer.	core,official
word	association	[əˌsəusiˈei∫ən]	n.协会,团体；联合		Try to recall "association" before checking the answer.	core,official
word	assume	[əˈsjuːm]	vt.假定；承担；呈现		Try to recall "assume" before checking the answer.	core,official
word	assure	[əˈ∫uə]	vt.使确信；向…保证		Try to recall "assure" before checking the answer.	core,official
word	astonish	[əsˈtɔni∫]	vt.使惊讶，使吃惊		Try to recall "astonish" before checking the answer.	core,official
word	astronaut	[ˈæstrənɔːt]	n.宇宙航行员，宇航员		Try to recall "astronaut" before checking the answer.	core,official
word	at	[æt]	prep.在…里；在…时		Try to recall "at" before checking the answer.	core,official
word	athlete	[ˈæθliːt]	n.运动员；田径运动员		Try to recall "athlete" before checking the answer.	core,official
word	atlantic	[ətˈlæntik]	a.大西洋的 n.大西洋		Try to recall "atlantic" before checking the answer.	core,official
word	atmosphere	[ˈætməsfiə]	n.大气；空气；气氛		Try to recall "atmosphere" before checking the answer.	core,official
word	atmospheric	[ˌætməsˈferik]	a.大气的;大气层的		Try to recall "atmospheric" before checking the answer.	core,official
word	atom	[ˈætəm]	n.原子；微粒；微量		Try to recall "atom" before checking the answer.	core,official
word	atomic	[əˈtɔmik]	a.原子的；原子能的		Try to recall "atomic" before checking the answer.	core,official
word	attach	[əˈtæt∫]	vt.缚，系，贴；附加		Try to recall "attach" before checking the answer.	core,official
word	attack	[əˈtæk]	vt.&vi.&n.攻击，进攻		Try to recall "attack" before checking the answer.	core,official
word	attain	[əˈtein]	vt.达到，获得，完成		Try to recall "attain" before checking the answer.	core,official
word	attempt	[əˈtempt]	vt.尝试，试图 n.企图		Try to recall "attempt" before checking the answer.	core,official
word	attend	[əˈtend]	vt.出席；照顾，护理		Try to recall "attend" before checking the answer.	core,official
word	attention	[əˈten∫ən]	n.注意，留心；注意力		Try to recall "attention" before checking the answer.	core,official
word	attentive	[əˈtentiv]	a.注意的；有礼貌的		Try to recall "attentive" before checking the answer.	core,official
word	attitude	[ˈætitjuːd]	n.态度，看法；姿势		Try to recall "attitude" before checking the answer.	core,official
word	attract	[əˈtrækt]	vt.吸引；引起，诱惑		Try to recall "attract" before checking the answer.	core,official
word	attraction	[əˈtræk∫ən]	n.吸引；吸引力；引力		Try to recall "attraction" before checking the answer.	core,official
word	attractive	[əˈtræktiv]	a.有吸引力的		Try to recall "attractive" before checking the answer.	core,official
word	attribute	[əˈtribju(ː)t]	vt.把…归因于 n.属性		Try to recall "attribute" before checking the answer.	core,official
word	audience	[ˈɔːdjəns]	n.听众，观众，读者		Try to recall "audience" before checking the answer.	core,official
word	august	[ˈɔːgəst]	n.八月		Try to recall "august" before checking the answer.	core,official
word	aunt	[ɑːnt]	n.伯母，婶母，姑母		Try to recall "aunt" before checking the answer.	core,official
word	aural	[ˈɔːrəl]	a.耳的，听觉的		Try to recall "aural" before checking the answer.	core,official
word	australia	[ɔsˈtreiljə]	n.澳大利亚		Try to recall "australia" before checking the answer.	core,official
word	australian	[ɔsˈtreiliən]	a.澳大利亚的		Try to recall "australian" before checking the answer.	core,official
word	author	[ˈɔːθə]	n.作者，作家		Try to recall "author" before checking the answer.	core,official
word	authority	[ɔːˈθɔriti]	n.当局，官方；权力		Try to recall "authority" before checking the answer.	core,official
word	auto	[ˈɔːtəu]	n.(口语)汽车		Try to recall "auto" before checking the answer.	core,official
word	automatic	[ˌɔːtəˈmætik]	a.自动的；机械的		Try to recall "automatic" before checking the answer.	core,official
word	automation	[ɔːtəˈmei∫ən]	n.自动，自动化		Try to recall "automation" before checking the answer.	core,official
word	automobile	[ˌɔːtəˈməubil]	n.汽车，机动车		Try to recall "automobile" before checking the answer.	core,official
word	autumn	[ˈɔːtəm]	n.秋，秋季		Try to recall "autumn" before checking the answer.	core,official
